"x"
"1","X54149..growth.arrest.and.DNA.damage.inducible..beta"
"2","AV138783.."
"3","V00727..C.FOS"
"4","U00937..growth.arrest.and.DNA.damage.inducible..alpha"
"5","AI847051..CDK4.binding.protein.p34SEI1"
"6","AI848851..hypothetical.protein.MGC2827"
"7","X68273..CD68.antigen"
"8","AW046181..Serum.glucocorticoid.regulated.kinase..SGK."
"9","AF055638..growth.arrest.and.DNA.damage.inducible..gamma"
"10","X51829..protein.phosphatase.1..regulatory..inhibitor..subunit.15A"
"11","AI850893..general.transcription.factor.IIIA"
"12","AW123271..DKFZP564O243.protein"
"13","AF023482..HS1.binding.protein"
"14","AI840996..selenoprotein.X..1"
"15","AI841311..microtubule.associated.proteins.1A.1B.light.chain.3"
"16","M32459.."
"17","AI429868..ligatin"
"18","X78304..signal.recognition.particle.9kD"
"19","M32459...1"
"20","AI645050.."
"21","AW046273..electron.transfer.flavoprotein..beta.polypeptide"
"22","AI851815..protein.expressed.in.thyroid"
"23","K02060..ribosomal.protein.L32"
"24","AB028272..DnaJ..Hsp40..homolog..subfamily.B..member.1"
"25","U35623..myeloid.cell.leukemia.sequence.1..BCL2.related."
"26","AA615100.."
"27","AW122337..ring.box.1"
"28","AI841579.."
"29","L15435..tumor.necrosis.factor..ligand..superfamily..member.9"
"30","U20735..jun.B.proto.oncogene"
"31","AF091432..cyclin.E2"
"32","D78382..transducer.of.ERBB2..1"
"33","AW125294.."
"34","AW047583.."
"35","AW120925..GDP.mannose.pyrophosphorylase.B"
"36","AV175719..development.and.differentiation.enhancing.factor.1"
"37","D76432..transcription.factor.8..represses.interleukin.2.expression."
"38","AW048484.."
"39","AF001797..glucosidase.I"
"40","AW046963..U6.snRNA.associated.Sm.like.protein.LSm8"
"41","U58513..Rho.kinase..ROCK2."
"42","AW046376..FW1B_HUMAN....F.BOX.WD.REPEAT.PROTEIN.1B..F.BOX.AND.WD.REPEATS.PROTEIN.BETA.TRCP2.."
"43","AA867123.."
"44","AI847879..hypothetical.protein.FLJ22678"
"45","AW121826.."
"46","AV246189.."
"47","AW122326..zinc.finger.protein.ANC_2H01"
"48","AF073523..RAD1..S..pombe..homolog"
"49","AI595382.."
"50","AI836641.."
"51","AI036466..Phosphatidic.acid.preferring.phospholipase.A1..incyte."
"52","AW048854.."
"53","AA981154.."
"54","AF041060.."
"55","AF013490..Protein.tyrosine.phosphatase.MEG2"
"56","AI848841.."
"57","X61172..Alpha.mannosidase.II"
"58","AI854602.."
"59","AI852829..megakaryoblastic.leukemia..translocation..1"
"60","U88325..JAK.binding.protein"
"61","AW125510..Homo.sapiens..clone.IMAGE.3898275..mRNA..partial.cds."
"62","AW122332.."
"63","AW047399..hypothetical.protein.FLJ20312"
"64","AW123269..anillin..Drosophila.Scraps.homolog...actin.binding.protein"
"65","C76063.."
"66","AI842326.."
"67","AA832935.."
"68","AI837010..pumilio..Drosophila..homolog.2"
"69","AI047076..fidgetin.like.1"
"70","AI552922..Homo.sapiens..clone.MGC.23971.IMAGE.4714217..mRNA..complete.cds."
"71","AI847650..HT002.protein..hypertension.related.calcium.regulated.gene"
